OBJECTID,STYLE,TYPE,Long,Lat
1,U,Bike Rack,-123.362331408002,48.4235785651631
2,U,Bike Rack,-123.360250264049,48.4231558536161
3,U,Bike Rack,-123.360447692107,48.4231832540317
4,U,Bike Rack,-123.360585233971,48.4231889214475
5,U,Bike Rack,-123.362016797518,48.4220197618086
6,U,Bike Rack,-123.37124074362,48.4294609916809
7,U,Bike Rack,-123.371167251253,48.4294167766088
8,U,Bike Rack,-123.371227077287,48.429446969451
9,U,Bike Rack,-123.37119587928,48.429428705872
10,7 TRIANGLES,Bike Rack,-123.370086057863,48.429658826035
11,U,Bike Rack,-123.369337666881,48.4302467395847
12,U,Bike Rack,-123.369429226643,48.4302464459267
13,SNAKE,Bike Rack,-123.368526828597,48.4292857846364
14,U,Bike Rack,-123.369116042232,48.4292793832531
15,U,Bike Rack,-123.369384017887,48.4292814686641
16,U,Bike Rack,-123.369505977941,48.4292159881516
17,U,Bike Rack,-123.369481057943,48.4287784855342
18,U,Bike Rack,-123.369131754339,48.4285772328005
19,U,Bike Rack,-123.369197704389,48.4284316822952
20,U,Bike Rack,-123.369087566252,48.4284336403831
21,U,Bike Rack,-123.368656019217,48.4284382931381
22,U,Bike Rack,-123.356329141364,48.4235678734476
23,SNAKE,Bike Rack,-123.356442010548,48.4237403725054
24,U,Bike Rack,-123.356943075465,48.4244833006768
25,U,Bike Rack,-123.356960649208,48.4246047385458
26,U,Bike Rack,-123.35770159319,48.4246879898331
27,U,Bike Rack,-123.358624535159,48.4247813292013
28,U,Bike Rack,-123.358784149819,48.424797661154
29,U,Bike Rack,-123.359303755314,48.4248629832684
30,SNAKE,Bike Rack,-123.355930903829,48.423520949269
31,SNAKE,Bike Rack,-123.355762953905,48.4235039439091
32,U,Bike Rack,-123.35549180684,48.4234714113038
33,U,Bike Rack,-123.354977304606,48.4234176904289
34,U,Bike Rack,-123.354860424105,48.4234065314971
35,U,Bike Rack,-123.354345535492,48.4233475918517
36,U,Bike Rack,-123.354310395497,48.4233461156922
37,U,Bike Rack,-123.353843728567,48.4232914127248
38,U,Bike Rack,-123.352794892387,48.4231787445966
39,U,Bike Rack,-123.35275726391,48.4231746909408
40,U,Bike Rack,-123.3533872066,48.4234091917539
41,U,Bike Rack,-123.353787944909,48.4234447716738
42,U,Bike Rack,-123.354248569351,48.4235054310907
43,U,Bike Rack,-123.35426753262,48.4235035905229
44,U,Bike Rack,-123.354367223082,48.4235138322322
45,U,Bike Rack,-123.354383541674,48.4235171233355
46,U,Bike Rack,-123.354999506565,48.4235860621576
47,U,Bike Rack,-123.355461476198,48.4236399361031
48,U,Bike Rack,-123.355424717808,48.423632809138
49,U,Bike Rack,-123.355680757438,48.4236571180088
50,U,Bike Rack,-123.356015005471,48.4236936735457
51,U,Bike Rack,-123.35949396336,48.4240725994155
52,U,Bike Rack,-123.358120963246,48.4239256926821
53,U,Bike Rack,-123.357463413083,48.4238535827878
54,U,Bike Rack,-123.357604025786,48.4236972284212
55,PRIVATE,Bike Rack,-123.358076236351,48.4237256438015
56,U,Bike Rack,-123.358168479872,48.4237510177903
57,U,Bike Rack,-123.358608108103,48.4238057433664
58,U,Bike Rack,-123.358940956342,48.4238466693922
59,U,Bike Rack,-123.359559944834,48.4239099991812
60,U,Bike Rack,-123.359964006142,48.4224928863832
61,U,Bike Rack,-123.359894969732,48.4236981382462
62,U,Bike Rack,-123.365764067988,48.4280409229018
63,U,Bike Rack,-123.365849696393,48.4277603025253
64,U,Bike Rack,-123.366012552943,48.4276802230724
65,U,Bike Rack,-123.366168799168,48.4274258261264
66,U,Bike Rack,-123.36614972875,48.4274191087321
67,U,Bike Rack,-123.366717135232,48.4274908910117
68,U,Bike Rack,-123.366771137931,48.4274966665934
69,V,Bike Rack,-123.36700886542,48.4275055676147
70,V,Bike Rack,-123.367030711925,48.4275067790719
71,V,Bike Rack,-123.367050633943,48.4275084248985
72,U,Bike Rack,-123.367567638942,48.427583601485
73,U,Bike Rack,-123.367601827659,48.4275873185586
74,U,Bike Rack,-123.367811384698,48.4276135894411
76,U,Bike Rack,-123.368492718511,48.4276737550071
78,U,Bike Rack,-123.368771367132,48.4275903414733
79,U,Bike Rack,-123.368198322906,48.4275213897732
80,U,Bike Rack,-123.368073402068,48.4275047389516
81,U,Bike Rack,-123.367757642992,48.4274704698757
82,U,Bike Rack,-123.365789088866,48.427250511763
83,U,Bike Rack,-123.363118081441,48.426968723966
84,U,Bike Rack,-123.363086970231,48.4270768132444
85,U,Bike Rack,-123.363966803288,48.427188872216
86,U,Bike Rack,-123.364666946157,48.4278933940265
87,U,Bike Rack,-123.364670627572,48.4278792973431
88,U,Bike Rack,-123.364814575307,48.4273345841486
89,U,Bike Rack,-123.36488746752,48.4270505672384
90,U,Bike Rack,-123.364866091372,48.4270693451224
91,U,Bike Rack,-123.364709866644,48.4264462263901
92,U,Bike Rack,-123.364705498872,48.4264573311936
93,U,Bike Rack,-123.36461932598,48.4268347456738
94,U,Bike Rack,-123.364612414682,48.4268487590188
95,U,Bike Rack,-123.364573290878,48.4270156145011
96,U,Bike Rack,-123.364562871793,48.4270296380454
97,U,Bike Rack,-123.36449354042,48.4272965616802
98,U,Bike Rack,-123.364489276032,48.4273045614295
99,U,Bike Rack,-123.364471589862,48.427385885207
100,U,Bike Rack,-123.364310216652,48.4281838173769
101,U,Bike Rack,-123.364304633429,48.4281932274519
102,V,Bike Rack,-123.36464574105,48.4261949590586
103,V,Bike Rack,-123.364644652708,48.4261888871194
104,V,Bike Rack,-123.364643294887,48.4261814251634
105,V,Bike Rack,-123.363611234113,48.4260770359316
106,V,Bike Rack,-123.363607533906,48.4260663551893
107,V,Bike Rack,-123.363609343006,48.4260719165557
108,V,Bike Rack,-123.363585576538,48.4260792716083
109,V,Bike Rack,-123.363582468573,48.4260722155132
110,V,Bike Rack,-123.363587698694,48.4260862723376
111,7 TRIANGLES,Bike Rack,-123.362450291389,48.4261369003002
114,V,Bike Rack,-123.36389193183,48.4262991348236
115,V,Bike Rack,-123.363899899156,48.4263038895292
116,V,Bike Rack,-123.363908158292,48.4263086208208
117,U,Bike Rack,-123.366026792065,48.4264889749557
118,U,Bike Rack,-123.366005206083,48.4264891731029
119,U,Bike Rack,-123.36452064074,48.4263560329191
120,U,Bike Rack,-123.364552726848,48.4263569452803
121,U,Bike Rack,-123.36637381476,48.4265304407098
122,U,Bike Rack,-123.367236430854,48.4266137676258
123,U,Bike Rack,-123.367218236101,48.4266161558006
124,U,Bike Rack,-123.362559841052,48.4277447908921
125,SNAKE,Bike Rack,-123.362614416298,48.4277428593714
126,U,Bike Rack,-123.363519492833,48.4278451134853
127,U,Bike Rack,-123.363593600766,48.4253382869092
128,U,Bike Rack,-123.363616147557,48.4253420995472
129,U,Bike Rack,-123.364018281608,48.4253835233697
130,U,Bike Rack,-123.364166010583,48.4253969254693
131,U,Bike Rack,-123.364412606306,48.425425353756
132,U,Bike Rack,-123.364858460514,48.4254594354541
133,U,Bike Rack,-123.364920899056,48.4253665504384
134,4 TRIANGLES,Bike Rack,-123.3646934224,48.4253088994097
135,16 OVALS,Bike Rack,-123.364634073562,48.425302416366
136,U,Bike Rack,-123.364576983703,48.4253144851714
137,U,Bike Rack,-123.365030033531,48.4252236349905
138,U,Bike Rack,-123.365026713478,48.425233225065
139,U,Bike Rack,-123.365331268531,48.4252559275771
140,U,Bike Rack,-123.365324563902,48.4252660915823
141,U,Bike Rack,-123.365486934787,48.4255281027556
142,U,Bike Rack,-123.365512373521,48.425531402938
143,U,Bike Rack,-123.366078910241,48.4263665152935
144,U,Bike Rack,-123.36605556704,48.4263653956398
145,U,Bike Rack,-123.365257394908,48.4255969323115
146,U,Bike Rack,-123.365253354931,48.4256069727047
147,U,Bike Rack,-123.364916149949,48.4256551071789
148,U,Bike Rack,-123.36490940331,48.4256815101052
149,U,Bike Rack,-123.364851636914,48.4259723993643
150,U,Bike Rack,-123.364844888846,48.4259988022893
151,U,Bike Rack,-123.366310302112,48.4263389203338
152,U,Bike Rack,-123.366282662682,48.4263343606051
153,U,Bike Rack,-123.366317089604,48.4263199834495
154,U,Bike Rack,-123.366282027007,48.4263187031899
155,U,Bike Rack,-123.366434923056,48.4257099350423
156,U,Bike Rack,-123.366434791894,48.4256916958029
157,U,Bike Rack,-123.36672153406,48.4256638849903
158,U,Bike Rack,-123.367146819271,48.4257083121542
159,V,Bike Rack,-123.367511214698,48.4259949565767
160,V,Bike Rack,-123.367515569847,48.4260024377186
161,V,Bike Rack,-123.367518403981,48.4260104347247
162,V,Bike Rack,-123.367432637391,48.4263529799982
163,V,Bike Rack,-123.367429401211,48.4263598943081
164,V,Bike Rack,-123.367427056656,48.4263689856426
165,U,Bike Rack,-123.367161816359,48.4273245842282
166,U,Bike Rack,-123.367422378057,48.4272073406471
167,V,Bike Rack,-123.367511632798,48.4268444125105
168,V,Bike Rack,-123.367507991167,48.4268359781488
169,V,Bike Rack,-123.367500210377,48.4268273401869
170,U,Bike Rack,-123.367951340718,48.426746202485
171,U,Bike Rack,-123.367947162048,48.4267575542416
172,U,Bike Rack,-123.368473983685,48.4268061443287
173,U,Bike Rack,-123.369035679,48.4268760105382
174,U,Bike Rack,-123.367331042257,48.4265163709758
175,U,Bike Rack,-123.367041896763,48.4264749224036
176,U,Bike Rack,-123.366390489184,48.4264060757081
177,V,Bike Rack,-123.367648022568,48.4261981877701
178,V,Bike Rack,-123.367650758981,48.4261905823117
179,V,Bike Rack,-123.367649107197,48.4261829081057
180,V,Bike Rack,-123.367706013457,48.4259704077786
181,V,Bike Rack,-123.367706949778,48.4259602395455
182,V,Bike Rack,-123.367707905627,48.4259499677893
183,V,Bike Rack,-123.367839057987,48.4253871152919
184,V,Bike Rack,-123.367836018271,48.4253965084513
185,V,Bike Rack,-123.36783271997,48.4254054706013
186,U,Bike Rack,-123.368600227939,48.4254376067122
187,SNAKE,Bike Rack,-123.368978113882,48.4258433922951
188,V,Bike Rack,-123.368554637383,48.4258899835926
189,V,Bike Rack,-123.368554688227,48.4258970070692
190,V,Bike Rack,-123.368555291474,48.4259043418576
191,U,Bike Rack,-123.366269266493,48.4265864827061
192,U,Bike Rack,-123.36620681404,48.4267858186405
193,U,Bike Rack,-123.366199571968,48.4268013301664
194,U,Bike Rack,-123.366172202462,48.4269566332554
195,U,Bike Rack,-123.366158839942,48.4269394634922
196,U,Bike Rack,-123.366078721706,48.4272550714169
197,V,Bike Rack,-123.367214138736,48.4281145498163
198,V,Bike Rack,-123.367217642961,48.428121730503
199,V,Bike Rack,-123.367219028723,48.4281292562178
200,U,Bike Rack,-123.368812082836,48.4277269664206
201,U,Bike Rack,-123.368895894704,48.4277350701059
202,U,Bike Rack,-123.369137759612,48.4277623182926
203,U,Bike Rack,-123.369011914023,48.4276152819852
204,U,Bike Rack,-123.369137231292,48.4276294663781
205,U,Bike Rack,-123.368887685622,48.4268646139843
206,U,Bike Rack,-123.368878674616,48.4268606600747
207,U,Bike Rack,-123.368865933791,48.426858709065
208,SNAKE,Bike Rack,-123.36904515987,48.4267216093636
209,SNAKE,Bike Rack,-123.369233765297,48.4257772964053
210,SNAKE,Bike Rack,-123.369177822754,48.42577274372
211,SNAKE,Bike Rack,-123.369065171018,48.4259936432183
212,U,Bike Rack,-123.369439649354,48.4251216001795
213,U,Bike Rack,-123.368989067197,48.4250740878844
214,U,Bike Rack,-123.369140977453,48.4250894443797
215,U,Bike Rack,-123.369296061893,48.4251070783235
216,U,Bike Rack,-123.368796591633,48.4246231936922
217,U,Bike Rack,-123.369673330354,48.4249445883481
218,U,Bike Rack,-123.369490059674,48.4239534268853
219,U,Bike Rack,-123.365449713983,48.424811344698
220,U,Bike Rack,-123.365451885573,48.424799389435
221,U,Bike Rack,-123.365603997732,48.4245832988001
222,U,Bike Rack,-123.366143692275,48.4246553795305
223,SNAKE,Bike Rack,-123.366450672971,48.4247934167152
224,SNAKE,Bike Rack,-123.366763290656,48.4248223591736
225,U,Bike Rack,-123.368036875428,48.4248378528931
226,U,Bike Rack,-123.368054282964,48.4248442936247
227,U,Bike Rack,-123.368088830762,48.4249646768753
228,V,Bike Rack,-123.368006569102,48.4246698722519
229,V,Bike Rack,-123.368002040189,48.4246753809464
230,V,Bike Rack,-123.367999170001,48.424682791609
231,V,Bike Rack,-123.36803873807,48.4245268776673
232,V,Bike Rack,-123.368039168767,48.4245191338382
233,V,Bike Rack,-123.368037879417,48.4245092318348
234,U,Bike Rack,-123.368055117214,48.4244431247527
235,V,Bike Rack,-123.368140633169,48.424140196604
236,V,Bike Rack,-123.368140873362,48.4241313432085
237,V,Bike Rack,-123.36814154704,48.4241233700904
238,V,Bike Rack,-123.368211074663,48.4238492632573
239,V,Bike Rack,-123.36821219534,48.4238279485942
240,V,Bike Rack,-123.368211305716,48.4238397072597
241,U,Bike Rack,-123.367967440385,48.4235691457849
242,U,Bike Rack,-123.367942062263,48.4235634195972
243,U,Bike Rack,-123.368025264491,48.4234716342153
244,U,Bike Rack,-123.367999886406,48.4234659080353
245,U,Bike Rack,-123.3688718355,48.4229419284696
246,7 TRIANGLES,Bike Rack,-123.368957961634,48.4229261668568
247,U,Bike Rack,-123.368176969608,48.4229645333124
248,U,Bike Rack,-123.367443682389,48.4235799122203
249,U,Bike Rack,-123.367180846169,48.4235084496111
250,U,Bike Rack,-123.367209295163,48.4237347761162
251,U,Bike Rack,-123.367168258978,48.4238846975676
252,U,Bike Rack,-123.367163102869,48.4238902055338
253,U,Bike Rack,-123.367789712057,48.424255847707
254,U,Bike Rack,-123.36702431846,48.4247397944026
255,3 TRIANGLES,Bike Rack,-123.366058351646,48.4233928291199
256,U,Bike Rack,-123.365563227676,48.4243833854156
257,U,Bike Rack,-123.365566036183,48.4243727929083
258,U,Bike Rack,-123.365617924414,48.4241905830091
259,U,Bike Rack,-123.365788002933,48.423526349617
260,U,Bike Rack,-123.365793149514,48.4235095141283
261,U,Bike Rack,-123.366570544474,48.423306246072
262,U,Bike Rack,-123.366540265464,48.4233048688501
263,U,Bike Rack,-123.365535919507,48.4245035928023
264,U,Bike Rack,-123.365538728026,48.4244930002965
265,U,Bike Rack,-123.366452879019,48.4241217730421
266,U,Bike Rack,-123.366413650102,48.4245895258405
267,U,Bike Rack,-123.366405208814,48.4246009981733
268,U,Bike Rack,-123.366927159893,48.4240359533192
269,U,Bike Rack,-123.365893471977,48.4230843751063
270,U,Bike Rack,-123.366069186155,48.4224615153449
271,U,Bike Rack,-123.366082438412,48.4224243766094
272,U,Bike Rack,-123.366078554894,48.4224301719777
273,U,Bike Rack,-123.366680273397,48.4224963624009
274,U,Bike Rack,-123.366191603758,48.4219764402879
275,U,Bike Rack,-123.36542440628,48.4217975791122
276,U,Bike Rack,-123.365414532819,48.4217896808719
277,U,Bike Rack,-123.365777228136,48.422322553816
278,U,Bike Rack,-123.365768682351,48.4223393956195
279,10 CUSTOM,Bike Rack,-123.365158503174,48.4227994597021
280,U,Bike Rack,-123.365555765731,48.423128756848
281,U,Bike Rack,-123.365541996938,48.4231472948736
282,U,Bike Rack,-123.364743726672,48.423664028029
283,U,Bike Rack,-123.365427626065,48.4236298987774
284,U,Bike Rack,-123.36549516892,48.4233928400531
285,U,Bike Rack,-123.363017754775,48.4236051562572
286,U,Bike Rack,-123.362984305683,48.4236025933476
287,U,Bike Rack,-123.364178096532,48.4237326120615
288,U,Bike Rack,-123.364144647297,48.4237300494826
289,U,Bike Rack,-123.365228211535,48.4238495886823
290,U,Bike Rack,-123.365172063866,48.4238461375655
291,U,Bike Rack,-123.365193306552,48.4244565580319
292,U,Bike Rack,-123.36518973191,48.4244721037783
293,U,Bike Rack,-123.36509047718,48.4245149336893
294,U,Bike Rack,-123.363500613077,48.4243464176903
295,U,Bike Rack,-123.362983655274,48.4242934492141
296,U,Bike Rack,-123.362954535172,48.4242905055668
297,U,Bike Rack,-123.36281934293,48.4244356639247
298,U,Bike Rack,-123.362869823281,48.4244411789929
299,U,Bike Rack,-123.362781788113,48.4244325182937
300,U,Bike Rack,-123.363734528127,48.4245192724447
301,U,Bike Rack,-123.36374014155,48.4245254983369
302,U,Bike Rack,-123.363755563392,48.4245280109469
303,U,Bike Rack,-123.363750684775,48.4245190621696
304,U,Bike Rack,-123.363762265807,48.4245231883018
305,U,Bike Rack,-123.363771443154,48.424527640505
306,U,Bike Rack,-123.363958226325,48.424540980598
307,U,Bike Rack,-123.364072771208,48.4245675965447
308,U,Bike Rack,-123.36395979103,48.424548850357
309,U,Bike Rack,-123.364343028244,48.4245996053866
310,U,Bike Rack,-123.364862908956,48.4246603119736
311,U,Bike Rack,-123.364695984353,48.424642078361
312,U,Bike Rack,-123.362017512479,48.4276880807154
313,U,Bike Rack,-123.358067495107,48.4275461353364
314,7 TRIANGLES,Bike Rack,-123.358084579155,48.427575791532
315,U,Bike Rack,-123.358070499757,48.4272547238011
316,U,Bike Rack,-123.358089849315,48.4272565016063
317,U,Bike Rack,-123.358276530803,48.4272821744768
318,U,Bike Rack,-123.360718422279,48.4275499431159
319,U,Bike Rack,-123.360749280806,48.4275513111361
320,U,Bike Rack,-123.361480956103,48.4275641302114
321,U,Bike Rack,-123.361952850928,48.4271067296848
322,U,Bike Rack,-123.361952733542,48.4270902015625
323,U,Bike Rack,-123.361636106222,48.4268006715895
324,U,Bike Rack,-123.361642596847,48.4267918381789
325,SNAKE,Bike Rack,-123.36110646524,48.4268811338506
326,3 TRIANGLES,Bike Rack,-123.36027785917,48.426794276137
327,12 CIRCLES,Bike Rack,-123.361826735704,48.4260866227931
328,U,Bike Rack,-123.361641099797,48.4260880774601
329,U,Bike Rack,-123.36160768609,48.4260844415752
330,SNAKE,Bike Rack,-123.362047402997,48.4267593144658
331,U,Bike Rack,-123.362174433191,48.4263916807124
332,U,Bike Rack,-123.362178670825,48.4263749292762
333,U,Bike Rack,-123.362220189276,48.4261639461834
334,U,Bike Rack,-123.360801461687,48.4257192563742
335,U,Bike Rack,-123.360774099202,48.4257162778391
336,U,Bike Rack,-123.36025092096,48.4256784012906
337,U,Bike Rack,-123.360234813236,48.4256754558051
338,U,Bike Rack,-123.35962300964,48.4256344797998
339,U,Bike Rack,-123.359602897822,48.4256280398651
340,U,Bike Rack,-123.358784824756,48.4255319658042
341,U,Bike Rack,-123.358806371321,48.4255300606978
342,U,Bike Rack,-123.358286232473,48.4254856703615
343,U,Bike Rack,-123.357365793593,48.4253531744643
344,U,Bike Rack,-123.357344452587,48.4253431393685
345,U,Bike Rack,-123.35718530102,48.4253475170991
346,U,Bike Rack,-123.357043996943,48.4253385054483
347,U,Bike Rack,-123.358745317309,48.4257338232823
348,U,Bike Rack,-123.35798861043,48.4256580158874
349,U,Bike Rack,-123.35681840251,48.4255290684168
350,U,Bike Rack,-123.35963424512,48.4258378552516
351,U,Bike Rack,-123.359526998296,48.4258228418671
352,U,Bike Rack,-123.359756957185,48.4258494258378
353,U,Bike Rack,-123.360212977018,48.4259000738608
354,U,Bike Rack,-123.357409829882,48.4264663463004
355,4 TRIANGLES,Bike Rack,-123.358876129851,48.426718312745
356,7 TRIANGLES,Bike Rack,-123.362163485547,48.4303748936634
357,V,Bike Rack,-123.365353710928,48.4283122572432
358,V,Bike Rack,-123.365369262451,48.4283072301146
359,V,Bike Rack,-123.365383545467,48.428299302915
360,U,Bike Rack,-123.365324414647,48.4283131805434
361,U,Bike Rack,-123.365305063301,48.4283099230801
362,V,Bike Rack,-123.365629299726,48.428221172407
363,V,Bike Rack,-123.365611059497,48.4282186581837
364,V,Bike Rack,-123.365592258491,48.4282150436575
365,V,Bike Rack,-123.365622628561,48.4282149472636
366,V,Bike Rack,-123.365604383061,48.4282116980362
367,V,Bike Rack,-123.365583371925,48.4282080905234
368,4 TRIANGLES,Bike Rack,-123.366717203618,48.428280368832
